title,category,days_to_trend,archetype,confidence,timing,recommendation
ROBLOX RUN FOR BRAINROTS...,Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Bonita Bonita,Music,1,Flash Viral,37/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
NEW MORTAL KOMBAT 2 EXCLUSIVE TRAILER!! [REACTION],Gaming,0,Mid-Burn Trending,1/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
BO3 Zombies - We Finally Played Team Fortress 2! Sorta… (Also Star Wars),Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
underscores — Tell Me (U Want It),Music,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
"Spider-Man Spin Off Reboot, Backrooms Trailer, Ghostface Controversy & MORE!!",Entertainment,1,Fast Mover,19/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
"Jarahn - How Now ft. Tarvin Toune, Odielow & Brenz",Music,12,Flash Viral,6/100,Growing trend — you have up to a week.,Skip it — high engagement but burns out before most creators can publish.
Resident Evil Requiem Review,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Twisting The Knife,Music,0,Mid-Burn Trending,16/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
"Don Trip, Starlito - 5:04 AM ft. Big TXP, Eddie Valero",Music,0,Mid-Burn Trending,3/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Finding Out of Bounds Secrets in Chapter 5 - Poppy Playtime,Gaming,0,Flash Viral,6/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"Larry June, Curren$y & The Alchemist - Drive Alone (Official Video)",Music,0,Mid-Burn Trending,3/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Resident Evil Requiem - Before You Buy,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Fué en un Café,Music,7,Flash Viral,23/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
Wednesday 2/25,Entertainment,0,Fast Mover,32/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
Wage War - SONG OF THE SWAMP (Official Music Video),Music,1,Mid-Burn Trending,6/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
SOLO,Music,13,Flash Viral,18/100,Growing trend — you have up to a week.,Skip it — high engagement but burns out before most creators can publish.
Lalo Rodríguez - Ven Devórame Otra Vez (Visualizer),Music,5,Flash Viral,44/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
ROBLOX CAR CRASHES ARE HILARIOUS,Entertainment,0,Fast Mover,30/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
SHLD - First Day X Kare Ku (Remix),Music,5,Fast Mover,22/100,Early trend — publish within 48–72 hours.,Move fast — the window is open but closing. Publish within 48 hours.
SMii7Y Plays REANIMAL,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Willie Colon - Idilio (Letra),Music,3,Flash Viral,31/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
War,Music,2,Flash Viral,22/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
Hollow Knight Switch 2 Version! LIVE! City Of Tears Is Amazing!,Gaming,0,Flash Viral,15/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Usher - DJ Got Us Fallin' In Love (Lyrics) ft. Pitbull,Music,6,Flash Viral,32/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
PLAYING POPPY PLAYTIME (CHAPTERS 4 AND 5),Gaming,0,Fast Mover,7/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
YoungBoy Never Broke Again - Another Episode [Official Video],Music,2,Mid-Burn Trending,26/100,Early trend — publish within 48–72 hours.,Viable if you can turn around quality content in 3–5 days.
trading from a noobini to a strawberry elephant,Gaming,0,Fast Mover,5/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
12000+ Knocks (Stella Montis PvP),Gaming,0,Flash Viral,11/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Poppy Playtime Chapter 5 but ruined by mods [ENDING],Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Cops hit me with a RICO CASE in GTA 5 RP!,Gaming,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
CAN WE SAVE HUGGY AND KISSY!? | Poppy Playtime Chapter 5 (Mods),Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"Minecraft Manhunt, But Drops Are Random... FINALE",Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Do CHORES Or DIE With Moody! (Roblox),Gaming,11,Flash Viral,32/100,Growing trend — you have up to a week.,Skip it — high engagement but burns out before most creators can publish.
Super Battle Golf is Absolute Chaos,Gaming,0,Flash Viral,5/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
DUNGEON DELIVERY ft. GeminiTay | 'Murder on The Acorn Express',Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
WE MIGHT HAVE ANOTHER CLASSIC GAME! (Super Battle Golf),Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Using ADMIN COMMANDS in Survive Lava for Brainrots!,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
GRIEF 83% 🔴 25-100 x4 🔴 65%+ x80 🔴 STREAM 324,Gaming,0,Flash Viral,6/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Chill Vibes with the boys | RV There Yet?,Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
ARC RAIDERS UPDATE! duos w/ theburntpeanut,Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
The Disturbing Story Of Gracie Green In Poppy Playtime Chapter 5...,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
10 Seconds vs 1 Hour MCDONALDS Build Challenge!,Entertainment,0,Flash Viral,18/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
The Loophole of...MURDER? | D,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"Rocket League With Jynxzi, But I'm High..",Entertainment,0,Flash Viral,17/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Trolling My Crush In Extreme Troll Obby...,Gaming,0,Flash Viral,4/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"I Made a Zoo, But All The Animals Use My Voice!",Gaming,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
RESIDENT EVIL REQUIEM Walkthrough Gameplay Part 1 - INTRO (FULL GAME),Gaming,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
The BEST Move They Could've Made,Gaming,0,Mid-Burn Trending,1/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
What's the SMALLEST theme park that still makes money?,Gaming,1,Flash Viral,6/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I MOVED INTO A NEW HOUSE BUT MY NEIGHBORS ARE GETTING WAY TOO COMFORTABLE WITH YOUR BOY,Gaming,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
I pushed 50 brawlers to prestige in ONE DAY,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I abused clones to generate infinite profit,Gaming,0,Flash Viral,15/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
One Of My Friends Is A Rat...,Gaming,0,Flash Viral,4/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Lived in a Secret Entrance Base in Rust,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Turn the crank or else,Gaming,0,Flash Viral,5/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
The Most Chaotic Golf Game EVER!,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
How Did Harley Sawyer Survive Chapter 4?,People & Blogs,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Roblox Has Gotten Even More Mindnumbing...,Gaming,1,Flash Viral,6/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Here’s why I logged on to WoW today..,Gaming,0,Mid-Burn Trending,6/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
I Hired an Escape Tsunami PRO To Troll My Friend,Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Found YouTubers First Avatars…,Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Should I Tell Them The Truth? (Dispatch Episode 5 & 6),Gaming,0,Mid-Burn Trending,2/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
My AURA Broke Roblox...,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
OCARINA OF TIME NO HIT ENEMY RANDOMIZER ATTEMPT + MARIO 64 PERMADEATH NO HIT RANDOMIZER ATTEMPT,Gaming,0,Flash Viral,12/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
ChatGPT Officially Solved Chess. Game Over.,Entertainment,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I strongly recommend: Resident Evil Requiem (Review),Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
trading from NOOBINI to STRAWBERRY ELEPHANT..,Gaming,0,Fast Mover,4/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
$0 To $100 TRILLION With LUCKY BLOCKS ONLY In Escape Tsunami For Brainrots..,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Episode 14.3: I Backdoored Tez & Motion?! | GTA RP | Grizzley World Whitelist,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Resident Evil 9 Requiem Is Phenomenal,Gaming,0,Mid-Burn Trending,3/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Johnny Left... FOREVER in Roblox Snapchat!,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Made Booshot Cry...,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
WE GOT COOKED FOR DINNER!,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
What if Tyreek Hill Went Back to the Chiefs?,Sports,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
the  #1 WARZONE REBIRTH Player + NEW WINTER UPDATE,Gaming,0,Flash Viral,18/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
'Wrong Side Out' By CG5 - Poppy Playtime Chapter 5 Official Music Video IS SO GOOD!!,Gaming,0,Mid-Burn Trending,9/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
WORLD RECORD 'ROUND 1' REVELATIONS EASTER EGG IS INSANE... WTF!!!,Gaming,0,Flash Viral,5/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Caylus & Steak Played My Roblox Game..,Gaming,0,Fast Mover,32/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
THE PROTOTYPE LOOKS FOR POPPY IN VRCHAT! | Poppy Playtime: Chapter 5 - Funny moments -,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
What do you gain from rage baiting your fanbase Tze?,Gaming,0,Mid-Burn Trending,5/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
"Spending $8,784,953 For The DIVINE LA SECRET COMBINATION..",Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
This Rat Tank Shreds Everything,Gaming,0,Mid-Burn Trending,2/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Every Death EXPOSES My Camera Roll.. (MM2),People & Blogs,0,Fast Mover,7/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
"MONSTER DATA DOWNLOAD!! EZA LR SSJ3 GOKU, SSJ2 VEGETA, GT GOKU & SSJ4 VEGETA! (DBZ: Dokkan Battle)",Entertainment,0,Flash Viral,11/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
The FUNNIEST Burnt Peanut Moments!,Gaming,0,Mid-Burn Trending,2/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Poppy Playtime Chapter 5,Gaming,0,Fast Mover,3/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
10 Second vs 1 Hour GIANT ROLLER COASTER Build Battle!,Gaming,0,Mid-Burn Trending,3/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
THE CRAZIEST NA TYLER1 ALL-STARS YET!! | WEEK 5 - NA EDITION,Gaming,0,Flash Viral,4/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Hired a Professional PVPER To Make Me Even RICHER In Roblox..,Gaming,0,Fast Mover,4/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
The Bloodhound Situation is Crazy...,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Someone Keeps RINGING My Doorbell at 1AM!,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Resident Evil Requiem - the BEST thing about it,Gaming,0,Mid-Burn Trending,2/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Cow Boss Situation is Crazy,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
FunnyMike SNITCHED On Yungeen Ace To Get LESS TIME In PRISON.. 😂 (GTA 5 RP),Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"NEW CAR, 2X$ WEED, DISCOUNTS & MORE! GTA Online Weekly Update",Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
If This Thing Knocks at Your Door... Dont Ever Let It In!,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Haunted Semi-Truck TERRORIZES Players.. (GTA 5 RP),Gaming,0,Mid-Burn Trending,1/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
GC FREESTYLER Goes UNDERCOVER in SSL TOURNAMENT. Can we win???,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Counter Strike but the jokes go WAY TOO FAR,Gaming,0,Flash Viral,4/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Trapped on a PLANE in GTA 5!,Gaming,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Behind Enemy Lines | F-22 RAPTOR - Deep Interdiction | Digital Combat Simulator | DCS |,Gaming,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
"Choose Your Pokemon, 1 Becomes a BROKEN Boss!",Gaming,0,Fast Mover,3/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
THE PROTOTYPE IS ON THE HUNT IN VRCHAT! | Poppy Playtime Chapter 5 | VRChat Funny Moments,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"Spending $9,985,547 in Roblox Spear Training!",Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Starting Over with OWNER Account in Escape Tsunami for Brainrots,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Building a $500m Collection ROOM! | Delta Force,Gaming,0,Flash Viral,14/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
TIMTHETATMAN DPS PLACEMENTS IN SEASON 1 OF OVERWATCH,Gaming,0,Flash Viral,4/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I built POPPY PLAYTIME CHAPTER 5 in LEGO...,Entertainment,1,Flash Viral,22/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
